transition,k,singular_value,normalized
L28_to_L29,97,3152.8369140625,8.404865366173908e-05
L28_to_L29,98,3146.775146484375,8.388706191908568e-05
L28_to_L29,99,3111.865966796875,8.295645238831639e-05
L29_to_L30,0,182613966848.0,1.0
L29_to_L30,1,3626650368.0,0.01985965482890606
L29_to_L30,2,2669106944.0,0.01461611595004797
L29_to_L30,3,1740254720.0,0.009529691189527512
L29_to_L30,4,1167074688.0,0.006390939000993967
L29_to_L30,5,931061440.0,0.005098522640764713
L29_to_L30,6,681457024.0,0.003731680801138282
L29_to_L30,7,484246720.0,0.00265175080858171
L29_to_L30,8,320174432.0,0.001753285527229309
L29_to_L30,9,293978912.0,0.0016098381020128727
L29_to_L30,10,161587632.0,0.000884859124198556
L29_to_L30,11,109896384.0,0.0006017961422912776
L29_to_L30,12,93297312.0,0.0005108991172164679
L29_to_L30,13,77937392.0,0.000426787679316476
L29_to_L30,14,70693712.0,0.00038712105015292764
L29_to_L30,15,62921900.0,0.00034456237335689366
L29_to_L30,16,61548512.0,0.0003370416525285691
L29_to_L30,17,49107656.0,0.0002689151151571423
L29_to_L30,18,44249840.0,0.0002423135592835024
L29_to_L30,19,43748256.0,0.00023956687073223293
L29_to_L30,20,39146320.0,0.0002143665187759325
L29_to_L30,21,37762112.0,0.00020678654254879802
L29_to_L30,22,34341620.0,0.0001880558265838772
L29_to_L30,23,32970642.0,0.00018054830434266478
L29_to_L30,24,31158988.0,0.00017062762344721705
L29_to_L30,25,28448510.0,0.00015578496095258743
L29_to_L30,26,27638122.0,0.00015134725254029036
L29_to_L30,27,26227442.0,0.00014362232468556613
L29_to_L30,28,25210938.0,0.000138055911520496
L29_to_L30,29,23739518.0,0.000129998370539397
L29_to_L30,30,21706630.0,0.00011886620632139966
L29_to_L30,31,21446160.0,0.00011743986397050321
L29_to_L30,32,20421516.0,0.00011182888556504622
L29_to_L30,33,20147248.0,0.00011032698239432648
L29_to_L30,34,19642720.0,0.00010756417032098398
L29_to_L30,35,19443356.0,0.00010647244926076382
L29_to_L30,36,18764418.0,0.00010275455861119553
L29_to_L30,37,17825428.0,9.761262481333688e-05
L29_to_L30,38,17612708.0,9.644775855122134e-05
L29_to_L30,39,17370800.0,9.512306132819504e-05
L29_to_L30,40,16741586.0,9.167746611637995e-05
L29_to_L30,41,16573430.0,9.075664274860173e-05
L29_to_L30,42,15622140.0,8.554734813515097e-05
L29_to_L30,43,15451839.0,8.461477409582585e-05
L29_to_L30,44,15089574.0,8.263099880423397e-05
L29_to_L30,45,14045914.0,7.691587961744517e-05
L29_to_L30,46,13670859.0,7.486206595785916e-05
L29_to_L30,47,13435389.0,7.357262802543119e-05
L29_to_L30,48,13269521.0,7.266432658070698e-05
L29_to_L30,49,12938373.0,7.085094694048166e-05
L29_to_L30,50,12631270.0,6.916924030520022e-05
L29_to_L30,51,12336258.0,6.755375216016546e-05
L29_to_L30,52,11876809.0,6.503779150079936e-05
L29_to_L30,53,11785532.0,6.45379550405778e-05
L29_to_L30,54,11653162.0,6.381309503922239e-05
L29_to_L30,55,11386630.0,6.235355249373242e-05
L29_to_L30,56,11175210.0,6.119580939412117e-05
L29_to_L30,57,11021217.0,6.035254045855254e-05
L29_to_L30,58,10904660.0,5.971427162876353e-05
L29_to_L30,59,10611560.0,5.810924631077796e-05
L29_to_L30,60,10522832.0,5.7623368775239214e-05
L29_to_L30,61,10080207.0,5.519953992916271e-05
L29_to_L30,62,9988194.0,5.4695672588422894e-05
L29_to_L30,63,9865011.0,5.402111855801195e-05
L29_to_L30,64,9708593.0,5.3164570999797434e-05
L29_to_L30,65,9615048.0,5.2652314479928464e-05
L29_to_L30,66,9407496.0,5.15157516929321e-05
L29_to_L30,67,9276280.0,5.079721086076461e-05
L29_to_L30,68,9167938.0,5.0203925638925284e-05
L29_to_L30,69,8847965.0,4.845174407819286e-05
L29_to_L30,70,8775869.0,4.805694334208965e-05
L29_to_L30,71,8660015.0,4.742252349387854e-05
L29_to_L30,72,8553656.0,4.684009763877839e-05
L29_to_L30,73,8308188.0,4.5495908125303686e-05
L29_to_L30,74,8173683.5,4.475935566006228e-05
L29_to_L30,75,8131048.0,4.452588109415956e-05
L29_to_L30,76,8093917.0,4.4322550820652395e-05
L29_to_L30,77,7851830.0,4.299687498132698e-05
L29_to_L30,78,7767504.0,4.2535102693364024e-05
L29_to_L30,79,7677507.0,4.204227661830373e-05
L29_to_L30,80,7581676.5,4.1517505451338366e-05
L29_to_L30,81,7437659.0,4.072886076755822e-05
L29_to_L30,82,7324404.5,4.010867633041926e-05
L29_to_L30,83,7245225.5,3.9675091102253646e-05
L29_to_L30,84,7175909.5,3.929551166947931e-05
L29_to_L30,85,7137539.0,3.908539656549692e-05
L29_to_L30,86,7082168.5,3.8782185583841056e-05
L29_to_L30,87,6947268.0,3.8043464883230627e-05
L29_to_L30,88,6807678.0,3.727906369022094e-05
L29_to_L30,89,6745320.0,3.693759208545089e-05
L29_to_L30,90,6647491.0,3.640187787823379e-05
L29_to_L30,91,6633462.5,3.6325054679764435e-05
L29_to_L30,92,6473274.0,3.544785795384087e-05
L29_to_L30,93,6424776.0,3.5182281862944365e-05
L29_to_L30,94,6306969.0,3.4537166357040405e-05
L29_to_L30,95,6267794.5,3.432264566072263e-05
L29_to_L30,96,6195429.0,3.392637154320255e-05
L29_to_L30,97,6071931.5,3.325009311083704e-05
L29_to_L30,98,6032413.5,3.3033691579476e-05
L29_to_L30,99,5932389.0,3.2485953852301463e-05
L30_to_L31,0,577.2269287109375,1.0
L30_to_L31,1,204.9910430908203,0.35513076186180115
L30_to_L31,2,160.83937072753906,0.2786414921283722
L30_to_L31,3,142.06500244140625,0.24611638486385345
L30_to_L31,4,130.66983032226562,0.22637514770030975
L30_to_L31,5,98.76167297363281,0.1710967868566513
L30_to_L31,6,67.74165344238281,0.11735706031322479
L30_to_L31,7,63.306976318359375,0.10967432707548141
L30_to_L31,8,47.120994567871094,0.08163339644670486
L30_to_L31,9,43.27139663696289,0.07496426999568939
L30_to_L31,10,38.81719207763672,0.06724771857261658
L30_to_L31,11,35.31023406982422,0.06117218732833862
