layer,metric,PC,spearman_r,p,n
13,M1_dir_refB,1,-0.5066688061166645,0.0,60000
13,M1_dir_refB,2,0.010391681662554544,0.01091377878679503,60000
13,M1_dir_refB,3,-0.06196565681629445,3.952464034815149e-52,60000
13,M1_dir_refB,4,-0.010409025861170446,0.010781683963906219,60000
13,M1_dir_refB,5,-0.11100774851001417,8.399016230531113e-164,60000
14,M1_dir_refB,1,-0.5039616445423262,0.0,60000
14,M1_dir_refB,2,0.015772562013840405,0.00011171315716109834,60000
14,M1_dir_refB,3,-0.06705546608529522,9.36238417916851e-61,60000
14,M1_dir_refB,4,-0.026581026428802553,7.415177285838816e-11,60000
14,M1_dir_refB,5,-0.06279213740511666,1.748063462737912e-53,60000
15,M1_dir_refB,1,-0.46261735029394313,0.0,60000
15,M1_dir_refB,2,0.03588884330002649,1.4486213847543235e-18,60000
15,M1_dir_refB,3,-0.11440283100693789,6.492290116139502e-174,60000
15,M1_dir_refB,4,-0.08297336295081223,3.8695710099382085e-92,60000
15,M1_dir_refB,5,-0.028616807531108866,2.3670986533120638e-12,60000
16,M1_dir_refB,1,-0.37816917566908065,0.0,60000
16,M1_dir_refB,2,0.048304257944719146,2.46115429261294e-32,60000
16,M1_dir_refB,3,-0.14887298331185514,2.19411022024825e-294,60000
16,M1_dir_refB,4,-0.15354981713858415,0.0,60000
16,M1_dir_refB,5,0.040730052388772524,1.8512218144808677e-23,60000
17,M1_dir_refB,1,-0.49241549881543945,0.0,60000
17,M1_dir_refB,2,0.03533762757063306,4.782670592925345e-18,60000
17,M1_dir_refB,3,-0.11236411771611092,8.352779583644055e-168,60000
17,M1_dir_refB,4,-0.05098981258685906,7.677316585189215e-36,60000
17,M1_dir_refB,5,0.023935400300844952,4.5274800682958775e-09,60000
18,M1_dir_refB,1,-0.49413067564870183,0.0,60000
18,M1_dir_refB,2,0.045267638621812295,1.3457675464174067e-28,60000
18,M1_dir_refB,3,-0.11896003270264145,5.606549165810024e-188,60000
18,M1_dir_refB,4,-0.047231728247119686,5.479787246209608e-31,60000
18,M1_dir_refB,5,-0.033184829089075454,4.2696053875574497e-16,60000
19,M1_dir_refB,1,-0.4798852512177261,0.0,60000
19,M1_dir_refB,2,0.05412398820277375,3.5938920223416622e-40,60000
19,M1_dir_refB,3,-0.1534382434603399,0.0,60000
19,M1_dir_refB,4,-0.09765851530313055,4.6970827971920125e-127,60000
19,M1_dir_refB,5,-0.04677809582660258,1.994032630434094e-30,60000
20,M1_dir_refB,1,-0.5119200700139608,0.0,60000
20,M1_dir_refB,2,0.045961073692358606,1.9795154075432953e-29,60000
20,M1_dir_refB,3,-0.12186149733846964,3.168860073606159e-197,60000
20,M1_dir_refB,4,-0.05366785777764454,1.590870675021926e-39,60000
20,M1_dir_refB,5,-0.07671881297718729,5.223346005584052e-79,60000
21,M1_dir_refB,1,-0.5150222568924129,0.0,60000
21,M1_dir_refB,2,0.052836819222986706,2.3160701362476035e-38,60000
21,M1_dir_refB,3,-0.14693959531087947,9.221333425677652e-287,60000
21,M1_dir_refB,4,-0.08252243597822251,3.706683456602792e-91,60000
21,M1_dir_refB,5,-0.03179692752004381,6.67803569831664e-15,60000
22,M1_dir_refB,1,-0.5068035603650135,0.0,60000
22,M1_dir_refB,2,0.06614976044669112,3.597993158146331e-59,60000
22,M1_dir_refB,3,-0.18912105782660218,0.0,60000
22,M1_dir_refB,4,-0.13542596128226406,1.656289536697315e-243,60000
22,M1_dir_refB,5,-0.05199383964674265,3.3585149591714614e-37,60000
23,M1_dir_refB,1,-0.5124372206404153,0.0,60000
23,M1_dir_refB,2,0.06204461749602701,2.939367897099761e-52,60000
23,M1_dir_refB,3,-0.23694533803743942,0.0,60000
23,M1_dir_refB,4,-0.19554715674433057,0.0,60000
23,M1_dir_refB,5,-0.014753317291342398,0.00030158898836168594,60000
24,M1_dir_refB,1,-0.5190054202539237,0.0,60000
24,M1_dir_refB,2,0.024709047465682057,1.4194891991754173e-09,60000
24,M1_dir_refB,3,-0.23109068009858205,0.0,60000
24,M1_dir_refB,4,-0.20171768055940126,0.0,60000
24,M1_dir_refB,5,0.10058530443695696,1.0585501871708141e-134,60000
25,M1_dir_refB,1,-0.494662610753173,0.0,60000
25,M1_dir_refB,2,0.008444307151603643,0.03860071935965738,60000
25,M1_dir_refB,3,-0.1995846741086884,0.0,60000
25,M1_dir_refB,4,-0.15191104508957323,1.41777193377693e-306,60000
