cluster,layer,mean_dh_norm_2,mean_delta_cos,n
0,27,35.91844177246094,0.5285719037055969,637
0,28,14014.3798828125,0.38863009214401245,637
0,29,8288666.5,0.2661193311214447,637
0,30,3175171751936.0,0.02883034385740757,637
0,31,3175171751936.0,0.02883034385740757,637
1,0,0.14477230608463287,0.4812209904193878,1748
1,1,0.1618785858154297,0.28585514426231384,1748
1,2,0.18014387786388397,0.18975310027599335,1748
1,3,0.18390510976314545,0.2571021020412445,1748
1,4,0.22358015179634094,0.1489897072315216,1748
1,5,0.256830632686615,0.08996112644672394,1748
1,6,0.30939358472824097,0.0548245906829834,1748
1,7,0.36205530166625977,0.017077099531888962,1748
1,8,0.3988049030303955,0.014459973201155663,1748
1,9,0.47661566734313965,0.011372985318303108,1748
1,10,0.4938408136367798,0.010287419892847538,1748
1,11,0.5147417187690735,0.007449199911206961,1748
1,12,0.5313548445701599,0.007288115099072456,1748
1,13,0.552455723285675,0.0064025623723864555,1748
1,14,0.5729429125785828,0.005739119835197926,1748
1,15,0.6085556149482727,0.0063669090159237385,1748
1,16,0.6390995979309082,0.005762923043221235,1748
1,17,0.6618888974189758,0.006026956718415022,1748
1,18,0.6926630735397339,0.0054676407016813755,1748
1,19,0.7637731432914734,0.006622836459428072,1748
1,20,0.9808076024055481,0.009614749811589718,1748
1,21,1.1971908807754517,0.011210118420422077,1748
1,22,1.5203595161437988,0.01656135730445385,1748
1,23,1.5017422437667847,0.012166285887360573,1748
1,24,2.050868511199951,0.01852530986070633,1748
1,25,3.8416922092437744,0.02844483219087124,1748
1,26,6.508858680725098,0.050783608108758926,1748
1,27,13.039620399475098,0.08147574216127396,1748
1,28,2269.515380859375,0.045149099081754684,1748
1,29,1673586.125,0.010893251746892929,1748
1,30,369181360128.0,0.008900013752281666,1748
1,31,369181360128.0,0.008900013752281666,1748
2,0,0.16668495535850525,0.6169987916946411,696
2,1,0.19222277402877808,0.4074728190898895,696
2,2,0.21501870453357697,0.2760140299797058,696
2,3,0.23309475183486938,0.4146595299243927,696
2,4,0.3118557333946228,0.29402774572372437,696
2,5,0.37368541955947876,0.19654078781604767,696
2,6,0.4620139002799988,0.12438186258077621,696
2,7,0.5556601285934448,0.03960772231221199,696
2,8,0.6245329976081848,0.03453995659947395,696
2,9,0.7367265820503235,0.026114720851182938,696
2,10,0.7678011059761047,0.023892100900411606,696
2,11,0.8131714463233948,0.017769034951925278,696
2,12,0.8417983651161194,0.017448803409934044,696
2,13,0.8798195719718933,0.01565149798989296,696
2,14,0.9384823441505432,0.014696726575493813,696
2,15,0.9816693067550659,0.01595054194331169,696
2,16,1.0222501754760742,0.014186966232955456,696
2,17,1.059267520904541,0.015016687102615833,696
2,18,1.1027812957763672,0.013556590303778648,696
2,19,1.203631043434143,0.016203729435801506,696
2,20,1.4080325365066528,0.01997077278792858,696
2,21,1.663525104522705,0.021813420578837395,696
2,22,1.993605375289917,0.028834639117121696,696
2,23,2.1074371337890625,0.024159744381904602,696
2,24,2.7723655700683594,0.03436421975493431,696
2,25,5.086238861083984,0.05132925137877464,696
2,26,8.894548416137695,0.09635011106729507,696
2,27,18.44782829284668,0.1700199991464615,696
2,28,3563.747802734375,0.1058962270617485,696
2,29,3202683.5,0.03931993618607521,696
2,30,782817492992.0,0.02120530605316162,696
2,31,782817492992.0,0.02120530605316162,696
3,0,0.15038856863975525,0.49412184953689575,91
3,1,0.16506341099739075,0.2953578531742096,91
3,2,0.2047385275363922,0.16714879870414734,91
3,3,0.2449674755334854,0.22073061764240265,91
3,4,0.3276309370994568,0.1572456806898117,91
3,5,0.39383119344711304,0.17426107823848724,91
3,6,0.6056853532791138,0.18101316690444946,91
3,7,0.7073586583137512,0.10812947899103165,91
3,8,0.8100924491882324,0.1284283697605133,91
3,9,1.1450297832489014,0.09665051102638245,91
3,10,1.3280587196350098,0.09738762676715851,91
3,11,1.5212299823760986,0.09297062456607819,91
3,12,1.6893633604049683,0.10353776067495346,91
3,13,1.9465858936309814,0.09654588252305984,91
3,14,2.1922767162323,0.0876656025648117,91
3,15,2.4093363285064697,0.10202998667955399,91
3,16,2.6904380321502686,0.09047120809555054,91
3,17,3.007795810699463,0.08429592102766037,91
3,18,3.3851048946380615,0.08022166043519974,91
3,19,3.6323671340942383,0.09310879558324814,91
3,20,4.181861877441406,0.10009229183197021,91
3,21,5.5863776206970215,0.12909606099128723,91
3,22,6.279266834259033,0.15072396397590637,91
3,23,7.647287845611572,0.14915584027767181,91
3,24,9.534940719604492,0.16157011687755585,91
3,25,14.509943962097168,0.21030502021312714,91
3,26,19.26119613647461,0.2617885172367096,91
3,27,31.552186965942383,0.31519225239753723,91
3,28,5004.193359375,0.18003962934017181,91
3,29,5050688.5,0.06788526475429535,91
3,30,1279172804608.0,0.024177897721529007,91
3,31,1279172804608.0,0.024177897721529007,91
4,0,0.13979339599609375,0.47508418560028076,507
4,1,0.1621108502149582,0.2871948480606079,507
4,2,0.1867162436246872,0.1989889293909073,507
4,3,0.20330333709716797,0.28775596618652344,507
4,4,0.2816687524318695,0.2297581136226654,507
4,5,0.3467479646205902,0.219274640083313,507
4,6,0.47705236077308655,0.22034570574760437,507
4,7,0.5666619539260864,0.12272614240646362,507
4,8,0.6428677439689636,0.15404249727725983,507
4,9,0.8719332814216614,0.11071154475212097,507
4,10,1.0532374382019043,0.08927899599075317,507
